cos_sim	s	sample	n
P1-T1-1_leaves	0.981257081614626	P1-T1-1_leaves	leaves	1
P1-T1-4_leaves	0.97172990110757	P1-T1-4_leaves	leaves	2
P1-T2-4_leaves	0.992214767114442	P1-T2-4_leaves	leaves	3
P1-T3-2_leaves	0.977457789508089	P1-T3-2_leaves	leaves	4
P1-T3-3_leaves	0.975451143749562	P1-T3-3_leaves	leaves	5
P1-T4-3_leaves	0.973132392015514	P1-T4-3_leaves	leaves	6
P1-T4-4_leaves	0.977329798466989	P1-T4-4_leaves	leaves	7
P2-T1-1_leaves	0.974213281074133	P2-T1-1_leaves	leaves	8
P2-T1-3_leaves	0.970309359147816	P2-T1-3_leaves	leaves	9
P2-T2-5_leaves	0.976101297711227	P2-T2-5_leaves	leaves	10
P2-T4-2_leaves	0.975101077771077	P2-T4-2_leaves	leaves	11
P2-T4-3_leaves	0.976391603316771	P2-T4-3_leaves	leaves	12
P2-T5-1_leaves	0.972828163548117	P2-T5-1_leaves	leaves	13
P2-T5-4_leaves	0.972401173865119	P2-T5-4_leaves	leaves	14
P2-T6-2_leaves	0.967731445221411	P2-T6-2_leaves	leaves	15
P2-T6-6_leaves	0.987834881420378	P2-T6-6_leaves	leaves	16
P3-T1-1_leaves	0.951626939766712	P3-T1-1_leaves	leaves	17
P3-T1-4_leaves	0.961208839545418	P3-T1-4_leaves	leaves	18
P3-T2-1_leaves	0.963492723707447	P3-T2-1_leaves	leaves	19
P3-T2-2_leaves	0.973718777398882	P3-T2-2_leaves	leaves	20
P3-T3-2_leaves	0.96765916568483	P3-T3-2_leaves	leaves	21
P3-T3-4_leaves	0.961845432504854	P3-T3-4_leaves	leaves	22
P3-T4-1_leaves	0.964594169964817	P3-T4-1_leaves	leaves	23
P3-T4-2_leaves	0.961238333623237	P3-T4-2_leaves	leaves	24
P1_trunk	0.985163804957855	P1_trunk	trunk	25
P2_trunk	0.989833435512842	P2_trunk	trunk	26
P3_trunk	0.984418160131428	P3_trunk	trunk	27
