cos_sim	s	sample	n
CRC0282_vitroMA	0.932834079704528	CRC0282_vitroMA	vitroMA	1
CRC0282-2nd_vitroMA	0.90683403238938	CRC0282-2nd_vitroMA	vitroMA	2
CRC0327_vitroMA	0.958820664120036	CRC0327_vitroMA	vitroMA	3
CRC0441_vitroMA	0.961841755419111	CRC0441_vitroMA	vitroMA	4
CRC1078_vitroMA	0.942034143170866	CRC1078_vitroMA	vitroMA	5
CRC1078-2nd_vitroMA	0.946480592213293	CRC1078-2nd_vitroMA	vitroMA	6
CRC1307_vitroMA	0.975586731551706	CRC1307_vitroMA	vitroMA	7
CRC1307-2nd_vitroMA	0.973089589047922	CRC1307-2nd_vitroMA	vitroMA	8
CRC1502_vitroMA	0.970443843632149	CRC1502_vitroMA	vitroMA	9
CRC1502-2nd_vitroMA	0.971704080789196	CRC1502-2nd_vitroMA	vitroMA	10
CRC1599LM_vitroMA	0.961435330703582	CRC1599LM_vitroMA	vitroMA	11
CRC1599LM-2nd_vitroMA	0.964967126006494	CRC1599LM-2nd_vitroMA	vitroMA	12
CRC1599PR_vitroMA	0.962002481276016	CRC1599PR_vitroMA	vitroMA	13
CRC0282_vivoMA	0.951111869367827	CRC0282_vivoMA	vivoMA	14
CRC0327_vivoMA	0.967536620685986	CRC0327_vivoMA	vivoMA	15
CRC0327-2nd_vivoMA	0.964631840009787	CRC0327-2nd_vivoMA	vivoMA	16
CRC0441_vivoMA	0.934457502177167	CRC0441_vivoMA	vivoMA	17
CRC1078_vivoMA	0.957823947635381	CRC1078_vivoMA	vivoMA	18
CRC1307_vivoMA	0.979953018303352	CRC1307_vivoMA	vivoMA	19
CRC1502_vivoMA	0.966304398252535	CRC1502_vivoMA	vivoMA	20
CRC1599LM_vivoMA	0.959801223552265	CRC1599LM_vivoMA	vivoMA	21
CRC0327_bulk	0.974341586626534	CRC0327_bulk	bulk	22
CRC1078_bulk	0.985801443096284	CRC1078_bulk	bulk	23
CRC1307_bulk	0.985803087964074	CRC1307_bulk	bulk	24
CRC1502_bulk	0.973886116015162	CRC1502_bulk	bulk	25
CRC0282_bulk	0.948479137339686	CRC0282_bulk	bulk	26
CRC0441_bulk	0.982960698016603	CRC0441_bulk	bulk	27
CRC1599LM_bulk	0.970617077631482	CRC1599LM_bulk	bulk	28
CRC1599PR_bulk	0.983656611419746	CRC1599PR_bulk	bulk	29
