r	intercept	slope	subcl	all
CRC0053LMX0A02204TUMD07000V2.fit.0.025_0.05.r2:1	0.988794267794007	0.657855919626133	NA	10	206
CRC0053PRX0A01201TUMD05000V2.fit.0.025_0.05.r2:1	0.942575444105503	0.776339178101929	NA	11	213
CRC0065LMX0B02205TUMD02000V2.fit.0.025_0.05.r2:1	0.971806704788491	0.615608837736974	NA	10	481
CRC0065PRX0A01201TUMD03000V2.fit.0.025_0.05.r2:1	0.971929568056753	2.0161161247681	NA	28	394
CRC0071LMX0A02204TUMD09000V2.fit.0.025_0.05.r2:1	0.984498310795702	0.894844917354767	NA	10	266
CRC0071PRX0A01201TUMD06000V2.fit.0.025_0.05.r2:1	0.964837748145516	0.625470540026864	NA	11	241
CRC0094LMX0A02201TUMD05000V2.fit.0.025_0.05.r2:1	0.937783869989114	1.66144877250993	NA	25	370
CRC0094PRX0A01201TUMD06000V2.fit.0.025_0.05.r2:1	0.967874490379071	0.981311067656539	NA	11	203
CRC0333LMX0A02204TUMD07000V2.fit.0.025_0.05.r2:1	0.990550392525272	2.6091955221991	NA	42	373
CRC0333PRX0A01201TUMD07000V2.fit.0.025_0.05.r2:1	0.984477564352657	1.73767683339971	NA	27	313
CRC0440LMX0A02001TUMD08000V2.fit.0.025_0.05.r2:1	0.981468447136342	1.35544003508816	NA	18	369
CRC0440PRX0A01001TUMD12000V2.fit.0.025_0.05.r2:1	0.955104523614399	0.546799106615623	NA	8	57
CRC0449LMX0A01001TUMD08000V2.fit.0.025_0.05.r2:1	1	0.075	NA	1	198
CRC0449PRX0A01001TUMD11000V2.fit.0.025_0.05.r2:1	0.972528369770314	2.05205216847115	NA	32	274
CRC0468LMX0B02004TUMD07000V2.fit.0.025_0.05.r2:1	0.934548915071153	0.900749457736427	NA	12	237
CRC0468PRX0B01001TUMD08000V2.fit.0.025_0.05.r2:1	0.967493318163726	0.473477894605015	NA	4	272
CRC0481LMX0A02001TUMD08000V2.fit.0.025_0.05.r2:1	0.986279656848466	0.502787552063264	NA	7	186
CRC0481PRX0A01001TUMD08000V2.fit.0.025_0.05.r2:1	0.981941377821778	0.440683137064452	NA	6	192
CRC0498LMX0A02001TUMD08000V2.fit.0.025_0.05.r2:1	0.987130334629703	0.428331925119453	NA	7	296
CRC0498PRX0A01001TUMD08000V2.fit.0.025_0.05.r2:1	0.878552994356967	1.16204521777728	NA	15	301
CRC0549LMX0B02004TUMD10000V2.fit.0.025_0.05.r2:1	0.988334914198301	1.5817417425589	NA	25	313
CRC0549PRX0A02004TUMD08000V2.fit.0.025_0.05.r2:1	0.962049889037159	0.524512467650524	NA	3	82
CRC0740LMX0A02001TUMD08000V2.fit.0.025_0.05.r2:1	0.995637180257292	1.43259410994774	NA	9	241
CRC0740PRX0A02001TUMD08000V2.fit.0.025_0.05.r2:1	0.966712019969025	2.42277565663697	NA	38	394
CRC1063LMX0A01001TUMD07000V2.fit.0.025_0.05.r2:1	0.996103356870255	2.48478602491742	NA	43	427
CRC1063PRX0B02001TUMD08000V2.fit.0.025_0.05.r2:1	0.954477765851357	0.639613893614135	NA	7	266
CRC1144LMX0A01001TUMD08000V2.fit.0.025_0.05.r2:1	0.988253542542489	0.773188610987299	NA	13	322
CRC1144PRX0B02002TUMD08000V2.fit.0.025_0.05.r2:1	0.799934822307177	0.662196565526143	NA	8	302
CRC1169LMX0A02001TUMD08000V2.fit.0.025_0.05.r2:1	0.938645286157631	2.68784323314637	NA	39	720
CRC1169PRX0A01001TUMD08000V2.fit.0.025_0.05.r2:1	0.994537797801389	2.28134083485547	NA	40	585
CRC1182LMX0A01001TUMD08000V2.fit.0.025_0.05.r2:1	0.984055550552012	0.243969453056881	NA	3	273
CRC1182PRX0A01001TUMD08000V2.fit.0.025_0.05.r2:1	0.987005887947875	2.60360965823897	NA	40	310
CRC1240LMX0A01001TUMD08000V2.fit.0.025_0.05.r2:1	0.98758588084474	1.32017768487348	NA	22	442
CRC1240PRX0B01001TUMD08000V2.fit.0.025_0.05.r2:1	0.983355847779453	0.437492140822274	NA	5	389
CRC1251LMX0A02001TUMD08000V2.fit.0.025_0.05.r2:1	0.970099039784741	1.62677669295564	NA	26	297
CRC1251PRX0A01001TUMD08000V2.fit.0.025_0.05.r2:1	0.992852558843989	1.22574298495531	NA	23	346
CRC1331LMX0A02005TUMD03000V2.fit.0.025_0.05.r2:1	0.97900895078302	2.74727258083006	NA	42	394
CRC1331PRX0A01001TUMD05000V2.fit.0.025_0.05.r2:1	0.989101278930438	1.72579643508811	NA	30	323
CRC1387LMX0A02001TUMD03000V2.fit.0.025_0.05.r2:1	0.995962006703868	0.41471484003054	NA	8	331
CRC1387PRX0B01001TUMD05000V2.fit.0.025_0.05.r2:1	0.984165481033934	2.69995227281172	NA	42	398
CRC1473LMX0B02002TUMD03000V2.fit.0.025_0.05.r2:1	0.989305917440046	1.31291254265836	NA	23	390
CRC1473PRX0B01001TUMD03000V2.fit.0.025_0.05.r2:1	0.98832865777958	1.53331842221167	NA	26	275
CRC1486LMX0B02002TUMD03000V2.fit.0.025_0.05.r2:1	0.903548660536208	1.33354764458828	NA	15	355
CRC1486PRX0A01001TUMD03000V2.fit.0.025_0.05.r2:1	0.965400204702887	0.261945074990556	NA	5	272
CRC1599LMX0A02001TUMD03000V2.fit.0.025_0.05.r2:1	0.882235014060297	1.5627034606508	NA	26	345
CRC1599PRX0A02002TUMD03000V2.fit.0.025_0.05.r2:1	0.968913386735214	0.984877403111164	NA	16	261
CRC1624LMX0B02001TUMD03000V2.fit.0.025_0.05.r2:1	0.976734605825475	2.65673031662763	NA	41	607
CRC1624PRX0B02001TUMD03000V2.fit.0.025_0.05.r2:1	0.995148557411715	0.52476182044084	NA	9	443
CRC1673LMX0B02004TUMD03000V2.fit.0.025_0.05.r2:1	1	0.075	NA	1	38
CRC1673PRX0B02001TUMD03000V2.fit.0.025_0.05.r2:1	0.989173776564492	0.748893869592567	NA	13	482
CRC1824LMX0A02001TUMD03000V2.fit.0.025_0.05.r2:1	0.979098324833494	1.2712239727254	NA	18	467
CRC1824PRX0A02003TUMD03000V2.fit.0.025_0.05.r2:1	0.891582024849064	0.330946073789633	NA	5	476
CRC2790LMX0A02001TUMD03000V2.fit.0.025_0.05.r2:1	0.981058736294548	1.18450919597055	NA	19	323
CRC2790PRX0A02001TUMD03000V2.fit.0.025_0.05.r2:1	0.94768927762677	1.14539120577052	NA	13	314
CRC0053LMX0A02204TUMD07000V2.fit.0.025_0.1.r2:1	0.941163439913423	1.22989982602181	NA	26	206
CRC0053PRX0A01201TUMD05000V2.fit.0.025_0.1.r2:1	0.977908118207356	1.09328293978644	NA	24	213
CRC0065LMX0B02205TUMD02000V2.fit.0.025_0.1.r2:1	0.964323928593806	0.785698421161074	NA	19	481
CRC0065PRX0A01201TUMD03000V2.fit.0.025_0.1.r2:1	0.974363215651134	3.39438593180231	NA	70	394
CRC0071LMX0A02204TUMD09000V2.fit.0.025_0.1.r2:1	0.95081568634104	1.620219312668	NA	29	266
CRC0071PRX0A01201TUMD06000V2.fit.0.025_0.1.r2:1	0.936980610474284	0.949155518974113	NA	23	241
CRC0094LMX0A02201TUMD05000V2.fit.0.025_0.1.r2:1	0.916616510591846	4.02734327021	NA	78	370
CRC0094PRX0A01201TUMD06000V2.fit.0.025_0.1.r2:1	0.975984821624453	0.530985342636896	NA	13	203
CRC0333LMX0A02204TUMD07000V2.fit.0.025_0.1.r2:1	0.988077593156593	3.1457033855652	NA	77	373
CRC0333PRX0A01201TUMD07000V2.fit.0.025_0.1.r2:1	0.993545996421728	1.55600569890041	NA	41	313
CRC0440LMX0A02001TUMD08000V2.fit.0.025_0.1.r2:1	0.996757429483277	1.17640339285525	NA	28	369
CRC0440PRX0A01001TUMD12000V2.fit.0.025_0.1.r2:1	0.992385206585571	0.43377599076746	NA	11	57
CRC0449LMX0A01001TUMD08000V2.fit.0.025_0.1.r2:1	0.790487085009515	0.262544401965704	NA	5	198
CRC0449PRX0A01001TUMD11000V2.fit.0.025_0.1.r2:1	0.978297513917461	2.54553424945239	NA	60	274
CRC0468LMX0B02004TUMD07000V2.fit.0.025_0.1.r2:1	0.992826609030357	0.653842490439344	NA	16	237
CRC0468PRX0B01001TUMD08000V2.fit.0.025_0.1.r2:1	0.947535138118912	1.06327220503782	NA	16	272
CRC0481LMX0A02001TUMD08000V2.fit.0.025_0.1.r2:1	0.959899787178417	0.814510944365609	NA	17	186
CRC0481PRX0A01001TUMD08000V2.fit.0.025_0.1.r2:1	0.945296924626112	1.37057781291756	NA	25	192
CRC0498LMX0A02001TUMD08000V2.fit.0.025_0.1.r2:1	0.943901776547793	0.921436202859807	NA	20	296
CRC0498PRX0A01001TUMD08000V2.fit.0.025_0.1.r2:1	0.961842409991144	1.84397949659526	NA	36	301
