Campione	sample	Concentrazione	Conta totale	Data prelievo	Data analisi	Positività EDU (%)	Stima divisioni in 24h	T
CRC1307 CLONE 2 - 2°100	CRC1307-02	122500	490000	2019/06/10	2019/06/14	11.42857	0.9142856	1
CRC1307 CLONE 8 - 2°100	CRC1307-08	127500	510000	2019/06/10	2019/06/14	14.28571	1.1428568	1
CRC1307 CLONE 9 - 2°100	CRC1307-09	140000	560000	2019/06/10	2019/06/14	11.42857	0.9142856	1
CRC1307 CLONE 2 - 2°100	CRC1307-02	182500	730000	2019/07/08	2019/07/11	18.28571	1.4628568	1
CRC1307 CLONE 8 - 2°100	CRC1307-08	202500	810000	2019/07/08	2019/07/11	17.42857	1.3942856	1
CRC1307 CLONE 9 - 2°100	CRC1307-09	162500	650000	2019/07/08	2019/07/11	19.14286	1.5314288	1
CRC1599PR BULK CLONE 1	CRC1599PR-01	100000	400000	2019/12/30	2020/03/05	30.8571428571429	2.468571428571432	1
CRC1599PR BULK CLONE 10	CRC1599PR-10	175000	700000	2019/12/30	2020/03/05	36.8571428571429	2.948571428571432	1
CRC1599PR CLONE 1 - 1°100	CRC1599PR-01	177500	532500	2020/01/21	2020/03/05	20	1.6	1
CRC1599PR CLONE 10 - 1°100	CRC1599PR-10	247500	742500	2020/01/21	2020/04/28	30.2857142857143	2.422857142857144	1
CRC1599PR CLONE 10 EDU 3 MESI	CRC1599PR-10	140000	420000	2020/04/14	2020/06/22	16.2857142857143	1.3028571428571438	1
CRC1599LM CLONE 3 - 1°100 (CLONE BIS DI BA)	CRC1599LM-03	61500	123000	2019/08/07	2019/09/12	28.5714285714286	2.285714286	1
CRC1599LM CLONE 1 - 1°100 (CLONE BIS DI BA)	CRC1599LM-01	65000	130000	2019/08/09	2019/09/12	35.1428571428571	2.8114285714285683	1
CRC1599LM BULK CLONE 1	CRC1599LM-01	185000	555000	2019/08/26	2019/09/19	18.8571428571429	1.508571428571432	1
CRC1599LM BULK CLONE 3	CRC1599LM-03	380000	1140000	2019/08/26	2019/09/19	31.3207547169811	2.505660377358488	1
CRC1599LM CLONE 1 EDU 3 MESI	CRC1599LM-01	370000	740000	2019/11/04	2019/11/14	23.42857	1.8742856	1
CRC1599LM CLONE 3 EDU 3 MESI	CRC1599LM-03	192500	577500	2019/11/14	2019/12/19	18.2857142857143	1.462857142857144	1
CRC1599LM CLONE 1 EDU 3 MESI RIFATTO	CRC1599LM-01	162500	731250	2019/12/18	2020/02/06	14.8571428571429	1.188571428571432	1
CRC1599LM CLONE 3 EDU 3 MESI RIFATTO	CRC1599LM-03	155000	697500	2019/12/18	2020/02/20	22.5714285714286	1.805714285714288	1
CRC1599LM CLONE 3 - 1°100 (CLONE BIS DI BA)	CRC1599LM-03	61500	123000	2019/08/07	2019/09/12	28.5714285714286	2.2857142857142883	1
CRC1599LM CLONE 1 - 1°100 (CLONE BIS DI BA)	CRC1599LM-01	65000	130000	2019/08/09	2019/09/12	35.1428571428571	2.8114285714285683	1
CRC1599LM BULK CLONE 1	CRC1599LM-01	185000	555000	2019/08/26	2019/09/19	18.8571428571429	1.508571428571432	1
CRC1599LM BULK CLONE 3	CRC1599LM-03	380000	1140000	2019/08/26	2019/09/19	31.3207547169811	2.505660377358488	1
CRC1599LM CLONE 1 EDU 3 MESI	CRC1599LM-01	370000	740000	2019/11/04	2019/11/14	23.42857	1.8742856	1
CRC1599LM CLONE 3 EDU 3 MESI	CRC1599LM-03	192500	577500	2019/11/14	2019/12/19	18.2857142857143	1.462857142857144	1
CRC1599LM CLONE 1 EDU 3 MESI RIFATTO	CRC1599LM-01	162500	731250	2019/12/18	2020/02/06	14.8571428571429	1.188571428571432	1
CRC1599LM CLONE 3 EDU 3 MESI RIFATTO	CRC1599LM-03	155000	697500	2019/12/18	2020/02/20	22.5714285714286	1.805714285714288	1
CRC0441 CLONE 1 EDU - 1°100	CRC0441-01	385000	770000	2019/10/28	2019/12/12	24.0174672489083	1.921397379912664	1
CRC0441 CLONE 3 EDU - 2°100	CRC0441-03	65000	227500	2019/12/20	2020/02/27	26.5714285714286	2.125714285714288	1
CRC0441 CLONE 10 - 1°100	CRC0441-10	167500	670000	2019/12/20	2020/02/27	16.8571428571429	1.348571428571432	1
CRC0282PR CLONE 5 - 1° 100	CRC0282-05	227500	227500	2019/07/26	2019/09/11	27.42857	2.1942856	1
CRC0282PR CLONE 7 - 1° 100	CRC0282-07	435000	435000	2019/07/26	2019/09/11	27.14286	2.1714287999999997	1
CRC0282PR BULK CLONE 1	CRC0282-01	305000	915000	2019/08/22	2019/09/19	36.85714	2.9485712	1
CRC0282PR BULK CLONE 5	CRC0282-05	240000	720000	2019/08/22	2019/09/19	34.85714	2.7885712000000002	1
CRC0282PR BULK CLONE 7	CRC0282-07	167500	502500	2019/08/22	2019/09/19	35.42857	2.8342856	1
CRC0282PR CLONE 1 EDU 3 MESI	CRC0282-01	232500	697500	2019/11/04	2019/11/14	5.142857	0.41142856	1
CRC0282PR CLONE 5 EDU 3 MESI	CRC0282-05	150000	450000	2019/11/04	2019/11/14	20.85714	1.6685712000000001	1
CRC0282PR CLONE 7 EDU 3 MESI	CRC0282-07	287500	862500	2019/11/04	2019/11/14	16.85714	1.3485712	1
