GEL-Colorectal_common_SBS17	GEL-Colorectal_common_SBS18	GEL-Colorectal_common_SBS93+121	GEL-Colorectal_common_SBS1	GEL-Colorectal_common_SBS88	GEL-Colorectal_common_SBS3+8	GEL-Colorectal_common_SBS2	GEL-Colorectal_rare_SBS44_a	GEL-Colorectal_rare_SBS6	GEL-Colorectal_rare_SBS26	GEL-Colorectal_rare_SBS18+44	GEL-Colorectal_rare_SBS15	GEL-Colorectal_rare_SBS14	GEL-Colorectal_rare_SBS10a	GEL-Colorectal_rare_SBS94	GEL-Colorectal_rare_SBS134	GEL-Colorectal_rare_SBS97	GEL-Colorectal_rare_SBS32	GEL-Colorectal_rare_SBS30	GEL-Colorectal_rare_SBS44_b	GEL-Colorectal_rare_SBS113	GEL-Colorectal_rare_SBS4	GEL-Colorectal_rare_SBS128	GEL-Colorectal_rare_SBS143	GEL-Colorectal_rare_SBS10d	GEL-Colorectal_rare_SBS84	GEL-Colorectal_rare_SBS13+33	GEL-Colorectal_rare_SBS112	unassigned
CRC0282_bulk	9811.33615472604	0	0	0	12845.6519736387	10195.168143161	0	22339.5318515856	72953.1638952917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8401.14798159688
CRC0282_vitroMA	0	0	0	0	0	5561.38340298448	0	3517.01759520135	4318.9891898189	0	0	0	0	0	0	0	0	0	0	9634.98855381665	0	2171.49334981184	0	0	0	2438.25760788465	0	0	8205.87030048213
CRC0282_vivoMA	0	0	0	0	0	1493.85425768245	0	0	3226.93241964975	2166.7761762238	0	0	0	0	0	0	0	0	0	2708.37020765517	0	0	0	0	0	1063.81789270771	0	0	3000.24904608112
CRC0327_bulk	0	2421.22845262992	5146.12612487495	3676.81254789637	2402.10038521538	7509.37533064684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3429.35715873654
CRC0327_vitroMA	0	2575.7306911805	676.755318023294	0	0	2819.64748831187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1210.03346513321	0	0	0	0	0	0	1386.83303735112
CRC0327_vivoMA	0	1805.74322806309	0	0	0	1739.4942184807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	702.362003685083	0	0	0	0	0	0	895.400549771122
CRC0441_bulk	7646.13457495166	3870.10409641487	2693.84533504668	5359.38360017289	0	7159.35444418316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3394.17794923074
CRC0441_vitroMA	0	2100.02482533082	0	0	456.829367373155	1792.81262850169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1363.84340609861	0	0	0	0	0	0	865.489772695733
CRC0441_vivoMA	0	324.695187124539	0	0	0	144.343437137044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217.186233776451	0	0	0	0	0	0	129.775141961966
CRC1078_bulk	3630.37559493426	2204.85678113015	2326.12163081316	3395.33254538869	2106.20530058648	8708.55819735345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3034.54994979383
CRC1078_vitroMA	0	3153.92174422496	0	0	0	3892.85930056542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2572.89348946629	0	0	0	0	0	0	2483.32546574334
CRC1078_vivoMA	0	1087.59887108972	0	0	0	721.916753778173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	697.179434357138	0	0	0	0	0	0	634.304940774968
CRC1307_bulk	6648.18937882674	1633.61689517695	1928.45542959477	3572.04391717112	0	7330.33757121972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4584.3568080107
CRC1307_vitroMA	0	1632.37887610613	2018.89232552717	0	925.653652484328	5561.55704255833	0	0	0	1132.77495684576	0	0	0	0	0	0	0	0	0	0	0	1527.19389559237	0	0	0	0	0	0	1483.54925088592
CRC1307_vivoMA	0	1060.67848070297	812.124079862956	0	475.700516492417	2589.9171941317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	885.528682341655	0	0	0	0	0	0	884.051046468305
CRC1502_bulk	0	0	7555.53288114462	3492.31165271321	3299.58033757569	4821.79142686285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4615.78370170363
CRC1502_vitroMA	0	4745.32008707989	2274.97062428138	0	0	8528.32568078446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2613.85186005506	0	0	0	0	0	0	3125.53174779921
CRC1502_vivoMA	0	3316.22985734798	726.938664636408	0	0	3023.69174951808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1314.6510535968	0	0	0	0	0	0	1231.48867490073
CRC1599LM_bulk	0	2521.12672932205	4590.07797174789	3038.54925496976	1914.65808442908	3503.80637846021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2780.78158107101
CRC1599LM_vitroMA	0	3715.25666183645	0	0	0	2081.00798686716	612.9194762781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1953.89789094875	0	0	0	0	0	0	1082.91798406955
CRC1599LM_vivoMA	0	1009.85973591126	0	0	0	469.022871091903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	570.198116875482	0	0	0	0	0	0	452.919276121359
CRC1599PR_bulk	0	0	3237.9747799993	3300.92517855523	1667.18316172773	3840.14745422261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3715.76942549512
CRC1599PR_vitroMA	0	385.764716852769	188.36701958639	0	0	735.480473443397	213.02082600929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220.802451400227	0	0	0	0	0	0	270.564512707927
