mean.Signature.1	mean.Signature.2	mean.Signature.3	mean.Signature.4	mean.Signature.5	mean.Signature.6	mean.Signature.7	mean.Signature.8	mean.Signature.9	mean.Signature.10	mean.Signature.11	mean.Signature.12	mean.Signature.13	mean.Signature.14	mean.Signature.15	mean.Signature.16	mean.Signature.17	mean.Signature.18	mean.Signature.19	mean.Signature.20	mean.Signature.21	mean.Signature.22	mean.Signature.23	mean.Signature.24	mean.Signature.25	mean.Signature.26	mean.Signature.27	mean.Signature.28	mean.Signature.29	mean.Signature.30	lower_90.Signature.1	lower_90.Signature.2	lower_90.Signature.3	lower_90.Signature.4	lower_90.Signature.5	lower_90.Signature.6	lower_90.Signature.7	lower_90.Signature.8	lower_90.Signature.9	lower_90.Signature.10	lower_90.Signature.11	lower_90.Signature.12	lower_90.Signature.13	lower_90.Signature.14	lower_90.Signature.15	lower_90.Signature.16	lower_90.Signature.17	lower_90.Signature.18	lower_90.Signature.19	lower_90.Signature.20	lower_90.Signature.21	lower_90.Signature.22	lower_90.Signature.23	lower_90.Signature.24	lower_90.Signature.25	lower_90.Signature.26	lower_90.Signature.27	lower_90.Signature.28	lower_90.Signature.29	lower_90.Signature.30	upper_90.Signature.1	upper_90.Signature.2	upper_90.Signature.3	upper_90.Signature.4	upper_90.Signature.5	upper_90.Signature.6	upper_90.Signature.7	upper_90.Signature.8	upper_90.Signature.9	upper_90.Signature.10	upper_90.Signature.11	upper_90.Signature.12	upper_90.Signature.13	upper_90.Signature.14	upper_90.Signature.15	upper_90.Signature.16	upper_90.Signature.17	upper_90.Signature.18	upper_90.Signature.19	upper_90.Signature.20	upper_90.Signature.21	upper_90.Signature.22	upper_90.Signature.23	upper_90.Signature.24	upper_90.Signature.25	upper_90.Signature.26	upper_90.Signature.27	upper_90.Signature.28	upper_90.Signature.29	upper_90.Signature.30
CRC0282_bulk	0.132072551562918	0.000486837282842069	0.00096201274380681	5.87144337509536e-05	0.00133113641105462	0.37800498940706	0.000105590904068215	0.0408171279605177	0.0994299521804081	9.72657379818396e-05	9.88629623078106e-05	0.209180887089274	0.00198314121465289	0.0166585789237936	0.000521966959956589	0.000302275122195079	0.032284037560736	3.26698811362161e-05	9.29664931735057e-05	0.000468011444649038	0.000158343742701501	5.5227393787141e-05	4.76568896773525e-05	3.53881799837051e-05	0.0492962044204852	0.000326494460717525	5.64610616785003e-05	0.0347464677664691	3.43511602663596e-05	0.000253828647951188	0.125648854785876	6.89839270258423e-07	3.61859063152105e-06	1.30449416445841e-07	3.71166858081363e-06	0.369955121257726	1.06862724992506e-07	0.0354100942116279	0.0936962255266489	3.90862066819308e-07	3.04526251734737e-09	0.205093394081893	0.001438987513898	0.0127406801631629	5.02661694087592e-07	3.33282183330838e-07	0.0296302822120546	6.02674052189007e-09	1.45547491998001e-07	1.75594008105278e-06	9.49476275864233e-08	2.37615111513082e-07	1.24171603748075e-07	2.59250609358023e-08	0.0455352831933552	3.33984292565475e-07	1.4905823757228e-07	0.0322680774972128	5.34128913407909e-09	1.61049623071488e-07	0.138406197177811	0.00100677340506181	0.00215371551099364	0.000137457949668194	0.00295626355666154	0.385846290762632	0.000236180779242202	0.0462379447275108	0.106026637739318	0.000225848364985315	0.00023453142932954	0.21387367363821	0.00252841689251204	0.0216738573977052	0.00121631954073228	0.000701378990061674	0.0348788864964983	7.33112823267267e-05	0.00021229727872606	0.00104398771620928	0.000385971891246224	0.00012525547519314	0.000104027178619704	8.26669969242666e-05	0.0541763669184211	0.000746005513979381	0.000123105429509649	0.0378308152182342	7.67457320073199e-05	0.000568326837205763
CRC0282_vitroMA	0.000722211330031498	0.000526244846569634	0.035011844796398	0.000489226334749395	0.101381229918406	0.154290245608281	0.000103876357160377	0.175357267638655	0.00784022323718202	0.000183816761749249	0.000191607927942157	0.052568431662137	0.00420442685060833	0.0903793653104473	0.000846175482648347	0.0683520530456164	0.000481847204392436	0.000313559791677174	0.000623078344961864	0.299661097297374	0.000313517167550237	0.000286243473346248	0.00017384280119517	0.000228320244451772	0.00145750177187835	0.00124831045183324	0.000324586548785735	0.000982352462476863	0.00027767883023413	0.00117981650126137	1.14648336141519e-06	1.63425867945147e-07	0.0207415990719467	1.23494143708943e-07	0.0717745267594778	0.142345174021197	5.0442210650049e-07	0.164974247731814	0.00239454161997651	9.57780509308765e-07	2.94170800025083e-07	0.0419218698843227	0.00255541533339493	0.0795266778690887	3.59772582219827e-06	0.0509888656958993	1.46581600073704e-06	8.46589500874007e-07	5.44421241885041e-07	0.286703063967238	5.50213066720403e-07	2.67435596505286e-08	5.51159567360496e-07	5.89667216556035e-07	1.34467078151877e-05	9.67660224562952e-08	1.59317614781173e-06	1.08999681225979e-06	7.70792957297136e-08	4.89217495124678e-06	0.00165552463155448	0.00116881987129053	0.0513386361250807	0.0011521142088389	0.13410706270404	0.165185396617676	0.000236013464755559	0.186825120534047	0.0134624682227013	0.00042864950797853	0.000421658208935632	0.0628974245457529	0.00589804955347463	0.101608997743588	0.0019934527577596	0.0867204495477228	0.00107835482097415	0.000716732627801792	0.00141015956730798	0.310237491436521	0.000707197312021291	0.000678512434317006	0.000375928657078626	0.000536830245702189	0.00316273661910012	0.00295921311439257	0.000715970990797398	0.0020900270673336	0.000650998940103037	0.00269641259631753
CRC0282_vivoMA	0.00345899007769041	0.000591875703175376	0.0194585089864391	0.000838746244983961	0.0919369159052137	0.251475730498578	0.00028053900602025	0.0842422488029876	0.0131534682025472	0.000436291462193979	0.000550803106256716	0.134724053820469	0.00415329878693277	0.0514818365203142	0.00229508867395009	0.0413208069157169	0.00248743336924196	0.000618382638693921	0.00147028270318959	0.265307787824094	0.00116911958394485	0.000748776164123195	0.000528381648888959	0.000418523868665075	0.0035983281341274	0.0174927502621076	0.00080852965226195	0.00087151665156971	0.00060782889231835	0.00347315589330444	1.94827845332193e-05	1.99914662925193e-07	0.000186425486695782	6.21703008216553e-07	0.0525020317038917	0.230457327664384	6.7182569082044e-08	0.0674784971824196	0.00360570347910973	3.22508936387372e-07	2.7717851212152e-06	0.110250698577858	0.00188882757111226	0.0340516790657852	5.10955051395156e-06	0.0170641715197445	1.75457321979436e-05	1.67825746750408e-06	3.33806485185288e-06	0.247235287882504	1.00129858728083e-05	7.34102068647962e-07	1.11857980931272e-07	8.27971260769454e-07	1.03582349559413e-06	0.000197110759501481	3.92413735295705e-06	8.60849898636461e-07	2.74071530350097e-07	1.40890212287385e-06	0.00808396996072857	0.0013852867784794	0.0358995130019176	0.00185029280096744	0.137090471065489	0.269983046076842	0.000619191042031743	0.101172592122645	0.0211454754275003	0.000986337373457327	0.00125304407422554	0.162080675847594	0.00652498880823142	0.0682676428413359	0.00520019957298339	0.06747711672211	0.00524486744138006	0.00135218503145472	0.00352029103576368	0.286122374767065	0.00266006157598128	0.00161005684445769	0.00128181504792897	0.000924476656417411	0.00812287602676221	0.0326764081904651	0.00171784239239406	0.00195591603529969	0.00141619369828427	0.00784892794912922
CRC0327_bulk	0.176468669949071	0.017650101977696	0.129289620612564	0.00331238224272238	0.0792849811965365	0.00171711697829978	0.00170849925226867	0.212573586411825	0.191870043563337	0.0107400230769626	0.00125645341049423	0.0174424248464733	0.0360456967915875	0.00168609241288294	0.00142215078740792	0.0538768888900845	0.000393388788442695	0.0163003642667845	0.00115023652643481	0.000442459862847157	0.000811836080912349	0.00160848476119103	0.000534054241552183	0.00197406347554965	0.00742153807197491	0.000859543757351511	0.00760973140157388	0.000885444249392407	0.0224521186258936	0.00121200348988625	0.166090239905293	0.0143656704570001	0.108955999359458	2.00420745831725e-05	0.0358892683220771	5.31307098441045e-08	1.11599443233057e-06	0.19236240471582	0.178349034382886	0.00604900564379585	3.41398963454617e-06	0.00233587137209321	0.0324166504175622	1.65000668094504e-06	1.71423817865458e-06	0.0287196803752181	1.1727643292922e-06	0.00634510666878184	4.45874763129759e-07	2.20411385421072e-06	8.02044703833547e-07	2.62841348599846e-06	6.7172433507603e-07	2.12875271542959e-06	0.000130422061299338	1.31187641203495e-06	0.00439655431426878	1.94466850928045e-07	0.0104491961220167	1.39819643381681e-06	0.185735419017166	0.0212687953521774	0.152849444279662	0.00706530671056048	0.122065282923033	0.00407023002733159	0.00378695101908687	0.229379300635103	0.20294636725013	0.0158403205407493	0.00293211432386203	0.0292536317863854	0.0399118280805416	0.00363571178639063	0.00319906525336331	0.0791870165262378	0.000890752955230298	0.0265053969008737	0.00256727535689019	0.00101279928339103	0.00179762639355914	0.00352321363262314	0.0012178256081559	0.00436934951414754	0.0146305175466207	0.00201283884983325	0.0101079784445831	0.00196578709194823	0.0351008323623994	0.00276767519306655
CRC0327_vitroMA	0.000823099234769161	0.0105266714281289	0.139868489667988	0.045072768954146	0.0270469925094371	0.00113532677008295	0.00179376658390707	0.281404525913234	0.0390698904827917	0.00296603348719437	0.0158450839798828	0.0100786118247979	0.0187456966081385	0.00659508420313843	0.00101361624842728	0.0595288938796863	0.000505545021644632	0.22786717542784	0.00751544211221879	0.00174051953941641	0.00147089548280825	0.000913510745270674	0.00770943352239407	0.00519678354197436	0.00154814438698337	0.001737786238539	0.00551962448568839	0.00237478249597044	0.0427087192813062	0.0316770859421944	4.54775853074318e-07	0.00399183185859666	0.109473709667967	0.0217529614702478	8.4696857099245e-06	1.46549522312933e-06	6.03861280984853e-06	0.249390234679068	0.0236894837776405	2.44052824967763e-07	0.00268476126377512	6.48967517531139e-05	0.0131026463807071	4.60705596220705e-05	1.20722028104237e-06	0.0317867165176722	1.12491029411648e-06	0.206476161038321	1.01756534477558e-05	8.49272200664727e-07	1.17483454431503e-06	5.97835636931561e-07	1.9514860988162e-05	1.87568341456469e-05	1.7115512135088e-06	6.77467877807625e-06	0.00153643745306449	4.92233861973538e-06	0.0173712427848595	0.0122680346833231	0.00184826690423277	0.016199555183797	0.169934517086085	0.0731807936551725	0.0576082757346877	0.00255713353540419	0.00413796387020515	0.311837199746481	0.0522776528082801	0.00621526489516091	0.0267540458430273	0.0198645825144022	0.0239491090314282	0.013929475739479	0.00232927558039298	0.0905269798148698	0.00111180397269165	0.249057940289605	0.0163994175500893	0.00416582339100962	0.00347534334997874	0.0020885038251072	0.0154250492394694	0.0112298055765128	0.00360740975683033	0.00400485731189042	0.0094601898596506	0.005172550874726	0.0675583312293973	0.0509267728862004
CRC0327_vivoMA	0.00216062525485762	0.00729145225840287	0.0510254222275551	0.0409603965760613	0.0172516280806936	0.00351798438066475	0.00204840346408129	0.357898320020629	0.0605286391131456	0.0163277991543835	0.00695739770562848	0.00559123512558084	0.0208103205028243	0.0219549776315694	0.0023058845009226	0.00992020677811002	0.000829123084857835	0.238821332697113	0.00594487643741579	0.00563239997603974	0.00278715975102109	0.00316456735419651	0.0053407894693383	0.00494251092699797	0.00530792435460874	0.00303504944530813	0.00636063039368218	0.00405647292942672	0.0619243094872436	0.02530216091764	2.62509261295289e-06	1.59385257767372e-05	0.018354283430034	0.00783654600802348	6.53463049795834e-06	3.38514055810501e-06	7.83970712382619e-07	0.321997470444321	0.0413367914471135	0.00421363941896446	2.85135646494503e-05	1.21437881379385e-06	0.0142099335560512	0.00454763441464068	1.38523790756141e-05	2.10921859799674e-05	7.27513083436439e-07	0.209193719633573	5.92441512450788e-06	1.12729820141548e-06	9.43618618024454e-07	1.60557543819949e-05	1.08481496624217e-06	1.73244075339217e-05	8.36124084448505e-06	5.86120678956531e-06	0.000947277132753768	7.09960186871055e-07	0.0308290003289062	0.00292187188665322	0.0048621439051311	0.0129074991722123	0.0893459457374795	0.0725054545577165	0.0384990193253696	0.00814631969556509	0.00466386646105186	0.401803191588418	0.078206540142043	0.0268939562911832	0.0141814446322864	0.012176851499502	0.0272473458759715	0.038618190724222	0.00523179537158715	0.0211807128596576	0.00184531550534026	0.269738005421685	0.0134114376800685	0.0130113728137468	0.0064556733356538	0.0068920060782875	0.011505793265494	0.0110775099244239	0.0119008243651933	0.00704742705420924	0.0114429223959651	0.00868483536805011	0.101484795911966	0.0413597335720283
CRC0441_bulk	0.177453180532186	0.000938735460812097	0.0415641963354688	0.00234756209040207	0.00171864663981027	0.00257951566309557	0.000406891318277372	0.2632862972593	0.17088876452839	0.00332917853023712	0.000422756399899628	0.00166368256355937	0.0234338888868928	0.00755751414244453	0.00128041776428561	0.00159323634820129	0.225444247046125	0.0506806415951078	0.000514208713842515	0.000530293497890501	0.00064988204541273	0.000494715277130681	0.000317492370960631	0.00187814658065714	0.00127289177241979	0.000813525214186259	0.00196173354088966	0.00086689539583697	0.0135531265418947	0.000557735944383424	0.169606138827807	1.17413904891998e-05	0.0306893331228357	5.75604761689153e-07	1.04106127543055e-05	2.51022728953567e-06	1.36995974386801e-06	0.246836803283802	0.160056700904733	7.13504534429165e-06	1.09144684952249e-06	3.37035446462414e-07	0.0209032705909459	0.00136287625648106	2.48686995959772e-07	2.23352334032617e-06	0.218957319429832	0.0421268756932039	5.41625878398216e-07	1.63090811202377e-06	9.06423007851467e-08	3.76352696825127e-07	1.56732774522328e-06	4.27514682615522e-07	1.62120741347055e-06	4.92904233560948e-07	1.37670936631682e-05	4.39973768626193e-07	0.00526498930865248	1.82988753140445e-06	0.185588514995609	0.00199154461108367	0.0530100548607537	0.00527516027959099	0.00389498839746676	0.00593673960866825	0.000932798226968654	0.277570409187106	0.179897962252387	0.00629776119846939	0.000950709132590456	0.00381834021617086	0.0256798252921286	0.013313911184082	0.00281185422655454	0.00350376208078756	0.231387895324401	0.0586491424445846	0.00115125543537856	0.00127051554024153	0.00149083188596968	0.00112897753007552	0.000723121727034292	0.00403274380635331	0.00291058582896955	0.00193845876276036	0.00348768457260837	0.00194869105876015	0.0232018355648808	0.00126727423996154
CRC0441_vitroMA	0.0012426289359974	0.008522409458264	0.0643207333498395	0.0513079562232467	0.0131644268493984	0.00156123688485958	0.00394680759587216	0.283267074235954	0.0369827649284471	0.00165461477126261	0.0105690116455506	0.00561874695867716	0.0102639591793522	0.0499858404399166	0.000948656927450561	0.119427119878469	0.00061405982586854	0.273502292457783	0.00439291533221065	0.00451598540382211	0.00131853523491334	0.00174664621404858	0.00340541097346112	0.00984027814705671	0.00293199295661715	0.00175445450116811	0.00578418007853584	0.00144089103693526	0.0194105015452999	0.0065578680297222	4.35483837334864e-06	0.00213340364108204	0.0358791831794218	0.0164465468773812	1.92339728655169e-05	8.96083047621123e-07	1.16074999850349e-06	0.243369285655977	0.0205464559111561	1.98258808403731e-06	6.27482940247766e-06	3.08309710489683e-06	0.0050078655480353	0.034304264625131	1.62980256443989e-07	0.0938032735632712	7.29758972487022e-07	0.247795779998342	3.468687210923e-07	3.48011254160761e-06	5.24577449112086e-06	6.51064607079096e-07	5.66743456946081e-06	2.80604149013068e-05	1.04478413274895e-06	2.7884751347533e-08	0.000887626510292735	2.54864907770892e-06	8.86013600429111e-05	2.64512015804574e-07	0.00294818599628566	0.0141723109985547	0.0941353892633766	0.0839880593270312	0.0304552851620381	0.00350157592922263	0.00869730828252501	0.314392561014348	0.0522039987145138	0.00381211088816329	0.0186715868665994	0.0131362420956694	0.0147362529841144	0.064481212215962	0.00217677582397599	0.152299169706133	0.00144341855310548	0.296041176539445	0.01014959741903	0.0105326387117602	0.00312386013599456	0.00388947248340837	0.00735554939139971	0.0211680133310024	0.00695603950260854	0.00415753863452245	0.0103111043133748	0.00319959926888132	0.0373471604801268	0.014166885439141
CRC0441_vivoMA	0.00830259405726755	0.00712890660396403	0.045895821457531	0.032092546443503	0.0208883572131974	0.00884874001168297	0.00565010643731631	0.213140219216947	0.0434878410776469	0.00711056725491613	0.00557285457681458	0.0187971967367276	0.00589943387414639	0.0353758645754486	0.00484421511275722	0.0366417433501533	0.00566207169912275	0.348936188251708	0.00921946366940267	0.0248229078769774	0.00608213569075021	0.0070607345054289	0.00491388481202202	0.0123326881527244	0.0123117438816361	0.00852911447644307	0.00409865160820363	0.0113876356905924	0.0361096866916398	0.00885608499332816	1.74233953095113e-06	2.58725708657369e-05	0.00152271364838892	0.000109625186885511	8.90335476326097e-05	6.73582306550149e-06	7.49292669349787e-06	0.129462709910988	0.00579313921214206	2.06440631893938e-06	1.41906267564366e-05	6.24745159919396e-05	3.0333535100996e-05	0.00186768221392445	4.2260159672901e-06	0.000150193464201289	9.298608788025e-06	0.284860747357521	2.2902801490592e-07	0.000131170251260671	2.19196473210561e-05	4.30149074220438e-06	1.67796468397823e-07	5.88966680916436e-06	1.6570792434642e-05	1.07848433883157e-05	1.02684925284667e-05	4.90481411526248e-05	4.38137320785382e-05	6.26404625663629e-06	0.0178858068466659	0.0153336015651016	0.0867966442245512	0.0737955740049189	0.0467141117993162	0.0213403999390145	0.012674764349369	0.305051071696923	0.0768971005433801	0.0153527936237908	0.0123334771175681	0.0392364340870041	0.0122708970283257	0.0672885026264911	0.0113678334842595	0.0744183270340006	0.0119702262596136	0.404117515593444	0.020531269335214	0.0528496333236587	0.0137311595054106	0.0159164812585727	0.0112314085563389	0.0290023085924753	0.0275920757601349	0.0193425432703385	0.0094965165940209	0.0231914813897808	0.0772817975615682	0.0216495091015864
CRC1078_bulk	0.156181915953844	0.00402893637002996	0.13689849311479	0.0043483936807981	0.00820399962887446	0.00475231213900392	0.00151301728713662	0.250429301822112	0.12215313624791	0.00931870989262262	0.00349688946525575	0.0100207491686461	0.0214204121719245	0.00480474422911431	0.00925180243110523	0.0689359590959923	0.11657535120599	0.00602476131834746	0.00197525567203297	0.000599490960470061	0.00155990669887135	0.00153566998834205	0.00130104955847284	0.00932813551974095	0.0231879061980471	0.00161204247633388	0.00632188572442338	0.00203965713489259	0.0108453505988922	0.00133476424598285	0.146123064581793	0.000967460969212352	0.118382252336219	2.93963922530631e-05	2.37331698470311e-05	2.40062375330799e-05	1.3954379109046e-07	0.229829088366832	0.11051248429569	0.00478747723396896	1.18974611859627e-05	7.69031901244493e-05	0.0183264366968797	4.13397517766904e-05	0.00191849199750791	0.0515270569824591	0.110226779282282	2.28337046236643e-05	4.53063982832719e-06	6.34720365396714e-07	9.97158894125527e-07	7.23525586360408e-06	1.38999883706665e-07	0.000909216741735985	0.00837988522747781	3.46509182679408e-06	0.00361486478240529	4.30652990109522e-07	0.0001948050498678	7.32737891167082e-06	0.165135918451214	0.00691636064966139	0.152200884578673	0.00984484921281181	0.0194047026685382	0.0104865856069569	0.00332043287010305	0.269501112967834	0.134571302298696	0.013607667614907	0.00691720256251426	0.0183854658307453	0.0246320260368185	0.0101767498608946	0.0154223931674991	0.0889150332424833	0.122876584796069	0.0115105791105659	0.00446528983052154	0.00140836756801824	0.00344293070250025	0.00347633676796573	0.00306624345326328	0.0164602859589772	0.0360117467776228	0.00369297972245725	0.00908002237182934	0.00468307093198597	0.0199987043962905	0.00309304421429074
